PSNR,SSIM,LPIPS,mask_type,parameter_k,image_name
20.914339065551758,0.7139800190925598,0.201895073056221,col_slit,"col_slit_6,6",watch_wrist.png
19.49010467529297,0.8180095553398132,0.28088274598121643,col_slit,"col_slit_6,6",row_rubber_ducks.png
18.2187442779541,0.40216854214668274,0.3890112638473511,col_slit,"col_slit_6,6",pizza_box_pizza.png
16.544572830200195,0.2662052810192108,0.384458065032959,col_slit,"col_slit_6,6",rocky_beach_large.png
22.8037052154541,0.5078473687171936,0.25700193643569946,col_slit,"col_slit_6,6",lemon_blue_surface.png
13.86683177947998,0.21483828127384186,0.4841069281101227,col_slit,"col_slit_2,2",woman_tending_garden.png
18.435211181640625,0.6674205660820007,0.30803561210632324,col_slit,"col_slit_2,2",view_mountains_lake.png
18.23596954345703,0.48826122283935547,0.3251129388809204,col_slit,"col_slit_2,2",field_red_flowers.png
19.21200180053711,0.6034073233604431,0.3175804018974304,col_slit,"col_slit_2,2",bowl_fruit_wooden.png
20.067981719970703,0.5697053074836731,0.34670591354370117,col_slit,"col_slit_2,2",blue_pink_toy.png
19.585542678833008,0.6550859808921814,0.31273236870765686,col_slit,"col_slit_2,2",watch_wrist.png
19.966293334960938,0.7937250137329102,0.3302735388278961,col_slit,"col_slit_2,2",row_rubber_ducks.png
17.5972900390625,0.3466627597808838,0.45315757393836975,col_slit,"col_slit_2,2",pizza_box_pizza.png
17.096908569335938,0.23852181434631348,0.4067802429199219,col_slit,"col_slit_2,2",rocky_beach_large.png
23.686094284057617,0.4872332513332367,0.30416765809059143,col_slit,"col_slit_2,2",lemon_blue_surface.png
14.075815200805664,0.23152072727680206,0.4610733389854431,col_slit,"col_slit_3,3",woman_tending_garden.png
18.245616912841797,0.6772940754890442,0.2803913354873657,col_slit,"col_slit_3,3",view_mountains_lake.png
17.66590690612793,0.503065824508667,0.2954708933830261,col_slit,"col_slit_3,3",field_red_flowers.png
23.084680557250977,0.6599850654602051,0.25474345684051514,col_slit,"col_slit_3,3",bowl_fruit_wooden.png
19.52161979675293,0.5800558924674988,0.3239603638648987,col_slit,"col_slit_3,3",blue_pink_toy.png
20.078981399536133,0.6794466376304626,0.23763790726661682,col_slit,"col_slit_3,3",watch_wrist.png
21.477230072021484,0.8314415812492371,0.2591515779495239,col_slit,"col_slit_3,3",row_rubber_ducks.png
17.33222007751465,0.35978779196739197,0.43985867500305176,col_slit,"col_slit_3,3",pizza_box_pizza.png
16.785541534423828,0.2524418532848358,0.39670395851135254,col_slit,"col_slit_3,3",rocky_beach_large.png
23.50663948059082,0.49824926257133484,0.2789289057254791,col_slit,"col_slit_3,3",lemon_blue_surface.png
13.773221015930176,0.23206494748592377,0.46019062399864197,col_slit,"col_slit_4,4",woman_tending_garden.png
17.453582763671875,0.6475961208343506,0.3373129963874817,col_slit,"col_slit_4,4",view_mountains_lake.png
15.39836597442627,0.49480605125427246,0.33817005157470703,col_slit,"col_slit_4,4",field_red_flowers.png
18.565038681030273,0.621181070804596,0.3156083822250366,col_slit,"col_slit_4,4",bowl_fruit_wooden.png
18.47702407836914,0.560127317905426,0.36025387048721313,col_slit,"col_slit_4,4",blue_pink_toy.png
20.26647186279297,0.7090736031532288,0.22426962852478027,col_slit,"col_slit_4,4",watch_wrist.png
18.2304630279541,0.7812355160713196,0.317996084690094,col_slit,"col_slit_4,4",row_rubber_ducks.png
16.085739135742188,0.3556097745895386,0.4618411660194397,col_slit,"col_slit_4,4",pizza_box_pizza.png
16.619611740112305,0.2549213469028473,0.39387381076812744,col_slit,"col_slit_4,4",rocky_beach_large.png
21.67476463317871,0.49987372756004333,0.2978050410747528,col_slit,"col_slit_4,4",lemon_blue_surface.png
13.979466438293457,0.25439003109931946,0.4349466860294342,col_slit,"col_slit_8,8",woman_tending_garden.png
15.523317337036133,0.6317470073699951,0.31279999017715454,col_slit,"col_slit_8,8",view_mountains_lake.png
12.80050277709961,0.42012643814086914,0.4382903575897217,col_slit,"col_slit_8,8",field_red_flowers.png
15.613627433776855,0.6327151656150818,0.28259041905403137,col_slit,"col_slit_8,8",bowl_fruit_wooden.png
17.312631607055664,0.5337327718734741,0.3736305236816406,col_slit,"col_slit_8,8",blue_pink_toy.png
16.45903778076172,0.6640751361846924,0.25425201654434204,col_slit,"col_slit_8,8",watch_wrist.png
16.526826858520508,0.7612948417663574,0.31305035948753357,col_slit,"col_slit_8,8",row_rubber_ducks.png
15.220196723937988,0.36189499497413635,0.4502723813056946,col_slit,"col_slit_8,8",pizza_box_pizza.png
14.357149124145508,0.254667192697525,0.42876577377319336,col_slit,"col_slit_8,8",rocky_beach_large.png
20.41697883605957,0.5003379583358765,0.2910075783729553,col_slit,"col_slit_8,8",lemon_blue_surface.png
13.935418128967285,0.18914134800434113,0.5191690921783447,col_slit,"col_slit_1,1",woman_tending_garden.png
18.69729995727539,0.660944402217865,0.33626243472099304,col_slit,"col_slit_1,1",view_mountains_lake.png
18.42683219909668,0.4798968732357025,0.3380824327468872,col_slit,"col_slit_1,1",field_red_flowers.png
23.10645294189453,0.6054283380508423,0.3641356825828552,col_slit,"col_slit_1,1",bowl_fruit_wooden.png
20.528371810913086,0.5688591003417969,0.3670467734336853,col_slit,"col_slit_1,1",blue_pink_toy.png
21.957040786743164,0.7083941102027893,0.2811489999294281,col_slit,"col_slit_1,1",watch_wrist.png
22.435293197631836,0.8201672434806824,0.25273817777633667,col_slit,"col_slit_1,1",row_rubber_ducks.png
17.177024841308594,0.31295666098594666,0.5076295137405396,col_slit,"col_slit_1,1",pizza_box_pizza.png
16.77652359008789,0.21542851626873016,0.4945520758628845,col_slit,"col_slit_1,1",rocky_beach_large.png
23.889007568359375,0.49697354435920715,0.3873049020767212,col_slit,"col_slit_1,1",lemon_blue_surface.png
13.654068946838379,0.24986553192138672,0.44509947299957275,col_slit,"col_slit_5,5",woman_tending_garden.png
16.707002639770508,0.6344522833824158,0.3361457288265228,col_slit,"col_slit_5,5",view_mountains_lake.png
17.158357620239258,0.5170679688453674,0.2978129982948303,col_slit,"col_slit_5,5",field_red_flowers.png
21.983640670776367,0.6655046343803406,0.22825871407985687,col_slit,"col_slit_5,5",bowl_fruit_wooden.png
17.510637283325195,0.56064772605896,0.3483395576477051,col_slit,"col_slit_5,5",blue_pink_toy.png
17.163055419921875,0.6791154742240906,0.25931259989738464,col_slit,"col_slit_5,5",watch_wrist.png
17.028566360473633,0.7425470352172852,0.34817421436309814,col_slit,"col_slit_5,5",row_rubber_ducks.png
17.91166114807129,0.3920105993747711,0.4046862721443176,col_slit,"col_slit_5,5",pizza_box_pizza.png
16.652015686035156,0.2641708552837372,0.38068193197250366,col_slit,"col_slit_5,5",rocky_beach_large.png
19.90048599243164,0.47454822063446045,0.3029545247554779,col_slit,"col_slit_5,5",lemon_blue_surface.png
13.736804962158203,0.22142191231250763,0.46820658445358276,chessboard,chessboard_k=5,woman_tending_garden.png
18.018524169921875,0.6668828129768372,0.2912997603416443,chessboard,chessboard_k=5,view_mountains_lake.png
18.297908782958984,0.505380392074585,0.3016117811203003,chessboard,chessboard_k=5,field_red_flowers.png
22.434741973876953,0.6555228233337402,0.22408291697502136,chessboard,chessboard_k=5,bowl_fruit_wooden.png
20.721046447753906,0.5905616283416748,0.2925146222114563,chessboard,chessboard_k=5,blue_pink_toy.png
21.30453109741211,0.7130942940711975,0.21345822513103485,chessboard,chessboard_k=5,watch_wrist.png
